0 0
0.00980392 0.0177048
0.0196078 0.0243992
0.0294118 0.0291378
0.0392157 0.0328276
0.0490196 0.0358333
0.0588235 0.0383493
0.0686275 0.0404948
0.0784314 0.0423501
0.0882353 0.0439727
0.0980392 0.0454052
0.107843 0.0466806
0.117647 0.0478247
0.127451 0.0488582
0.137255 0.0497979
0.147059 0.0506576
0.156863 0.0514486
0.166667 0.0521803
0.176471 0.0528603
0.186275 0.0534952
0.196078 0.0540901
0.205882 0.0546493
0.215686 0.0551765
0.22549 0.0556743
0.235294 0.0561451
0.245098 0.0565904
0.254902 0.0570115
0.264706 0.0574093
0.27451 0.0577842
0.284314 0.0581365
0.294118 0.0584663
0.303922 0.0587732
0.313725 0.0590569
0.323529 0.0593168
0.333333 0.0595524
0.343137 0.0597629
0.352941 0.0599474
0.362745 0.0601052
0.372549 0.0602353
0.382353 0.0603369
0.392157 0.060409
0.401961 0.0604509
0.411765 0.0604616
0.421569 0.0604404
0.431373 0.0603865
0.441176 0.0602993
0.45098 0.060178
0.460784 0.0600222
0.470588 0.0598313
0.480392 0.0596051
0.490196 0.0593432
0.5 0.0590454
0.509804 0.0587116
0.519608 0.0583417
0.529412 0.0579359
0.539216 0.0574943
0.54902 0.0570173
0.558824 0.056505
0.568627 0.055958
0.578431 0.0553768
0.588235 0.054762
0.598039 0.0541142
0.607843 0.0534342
0.617647 0.0527227
0.627451 0.0519806
0.637255 0.0512086
0.647059 0.0504077
0.656863 0.0495787
0.666667 0.0487226
0.676471 0.0478402
0.686275 0.0469323
0.696078 0.0459997
0.705882 0.0450432
0.715686 0.0440634
0.72549 0.0430608
0.735294 0.0420359
0.745098 0.0409889
0.754902 0.0399201
0.764706 0.0388293
0.77451 0.0377162
0.784314 0.0365805
0.794118 0.0354212
0.803922 0.0342375
0.813725 0.033028
0.823529 0.0317909
0.833333 0.0305243
0.843137 0.0292256
0.852941 0.027892
0.862745 0.0265202
0.872549 0.0251062
0.882353 0.0236458
0.892157 0.0221339
0.901961 0.0205649
0.911765 0.0189328
0.921569 0.0172305
0.931373 0.0154505
0.941176 0.0135843
0.95098 0.0116227
0.960784 0.00955579
0.970588 0.00737245
0.980392 0.00506083
0.990196 0.00260799
1 0
0 0
0.00980392 -0.0174658
0.0196078 -0.024113
0.0294118 -0.0288427
0.0392157 -0.0325422
0.0490196 -0.0355682
0.0588235 -0.0381101
0.0686275 -0.0402848
0.0784314 -0.0421708
0.0882353 -0.0438245
0.0980392 -0.0452882
0.107843 -0.0465943
0.117647 -0.0477688
0.127451 -0.0488323
0.137255 -0.0498018
0.147059 -0.050691
0.156863 -0.0515113
0.166667 -0.0522723
0.176471 -0.0529815
0.186275 -0.0536453
0.196078 -0.0542688
0.205882 -0.0548562
0.215686 -0.0554105
0.22549 -0.0559342
0.235294 -0.0564289
0.245098 -0.0568958
0.254902 -0.0573352
0.264706 -0.0577474
0.27451 -0.0581319
0.284314 -0.058488
0.294118 -0.0588147
0.303922 -0.0591106
0.313725 -0.0593741
0.323529 -0.0596034
0.333333 -0.0597967
0.343137 -0.0599519
0.352941 -0.0600668
0.362745 -0.0601391
0.372549 -0.0601666
0.382353 -0.0601469
0.392157 -0.0600778
0.401961 -0.059957
0.411765 -0.0597823
0.421569 -0.0595516
0.431373 -0.0592628
0.441176 -0.0589141
0.45098 -0.0585036
0.460784 -0.0580298
0.470588 -0.0574912
0.480392 -0.0568865
0.490196 -0.0562148
0.5 -0.0554753
0.509804 -0.0546673
0.519608 -0.0537905
0.529412 -0.0528448
0.539216 -0.0518306
0.54902 -0.0507482
0.558824 -0.0495985
0.568627 -0.0483825
0.578431 -0.0471017
0.588235 -0.0457577
0.598039 -0.0443527
0.607843 -0.0428889
0.617647 -0.0413691
0.627451 -0.0397963
0.637255 -0.0381739
0.647059 -0.0365055
0.656863 -0.0347953
0.666667 -0.0330476
0.676471 -0.031267
0.686275 -0.0294587
0.696078 -0.027628
0.705882 -0.0257805
0.715686 -0.0239223
0.72549 -0.0220595
0.735294 -0.0201989
0.745098 -0.0183471
0.754902 -0.0165115
0.764706 -0.0146993
0.77451 -0.0129181
0.784314 -0.0111759
0.794118 -0.00948057
0.803922 -0.00784049
0.813725 -0.00626403
0.823529 -0.00475976
0.833333 -0.00333638
0.843137 -0.00200268
0.852941 -0.000767531
0.862745 0.000360126
0.872549 0.00137134
0.882353 0.00225716
0.892157 0.00300867
0.901961 0.00361703
0.911765 0.00407349
0.921569 0.00436942
0.931373 0.00449641
0.941176 0.0044462
0.95098 0.00421084
0.960784 0.00378261
0.970588 0.00315418
0.980392 0.00231856
0.990196 0.00126919
1 0
